timestamp,duration,log10_resp
datetime, int, float
T,,
2015-11-03 22:00:00,290,2.462397998
2015-11-03 22:00:01,483,2.683947131
2015-11-03 22:00:02,278,2.444044796
2015-11-03 22:00:03,362,2.558708571
2015-11-03 22:00:04,270,2.431363764
2015-11-03 22:00:05,412,2.614897216
2015-11-03 22:00:06,308,2.488550717
2015-11-03 22:00:07,279,2.445604203
2015-11-03 22:00:08,252,2.401400541
2015-11-03 22:00:09,514,2.710963119
2015-11-03 22:00:10,291,2.463892989
2015-11-03 22:00:11,312,2.494154594
2015-11-03 22:00:12,262,2.418301291
2015-11-03 22:00:13,294,2.46834733
2015-11-03 22:00:14,325,2.511883361
2015-11-03 22:00:15,266,2.424881637
2015-11-03 22:00:16,374,2.572871602
2015-11-03 22:00:17,432,2.635483747
2015-11-03 22:00:18,297,2.472756449
2015-11-03 22:00:19,257,2.409933123
2015-11-03 22:00:20,274,2.437750563
2015-11-03 22:00:21,399,2.600972896
2015-11-03 22:00:22,277,2.442479769
2015-11-03 22:00:23,280,2.447158031
2015-11-03 22:00:24,330,2.51851394
2015-11-03 22:00:25,332,2.521138084
2015-11-03 22:00:26,1189,3.075181855
2015-11-03 22:00:27,300,2.477121255
2015-11-03 22:00:28,304,2.482873584
2015-11-03 22:00:29,285,2.45484486
2015-11-03 22:00:30,867,2.938019098
2015-11-03 22:00:31,296,2.471291711
2015-11-03 22:00:32,391,2.592176757
2015-11-03 22:00:33,414,2.617000341
2015-11-03 22:00:34,341,2.532754379
2015-11-03 22:00:35,277,2.442479769
2015-11-03 22:00:36,336,2.526339277
2015-11-03 22:00:37,336,2.526339277
2015-11-03 22:00:38,261,2.416640507
2015-11-03 22:00:39,275,2.439332694
2015-11-03 22:00:40,387,2.587710965
2015-11-03 22:00:41,307,2.487138376
2015-11-03 22:00:42,354,2.549003262
2015-11-03 22:00:43,260,2.414973348
2015-11-03 22:00:44,374,2.572871602
2015-11-03 22:00:45,402,2.604226053
2015-11-03 22:00:46,275,2.439332694
2015-11-03 22:00:47,265,2.423245874
2015-11-03 22:00:48,233,2.367355921
2015-11-03 22:00:49,250,2.397940009
2015-11-03 22:00:50,382,2.582063363
2015-11-03 22:00:51,404,2.606381365
2015-11-03 22:00:52,562,2.749736316
2015-11-03 22:00:53,265,2.423245874
2015-11-03 22:00:54,311,2.492760389
2015-11-03 22:00:55,263,2.419955749
2015-11-03 22:00:56,361,2.557507202
2015-11-03 22:00:57,284,2.45331834
2015-11-03 22:00:58,286,2.456366033
2015-11-03 22:00:59,313,2.495544338
2015-11-03 22:01:00,270,2.431363764
2015-11-03 22:01:01,322,2.507855872
2015-11-03 22:01:02,459,2.661812686
2015-11-03 22:01:03,397,2.598790507
2015-11-03 22:01:04,391,2.592176757
2015-11-03 22:01:05,314,2.496929648
2015-11-03 22:01:06,253,2.403120521
2015-11-03 22:01:07,258,2.411619706
2015-11-03 22:01:08,430,2.633468456
2015-11-03 22:01:09,384,2.584331224
2015-11-03 22:01:10,291,2.463892989
2015-11-03 22:01:11,267,2.426511261
2015-11-03 22:01:12,281,2.44870632
2015-11-03 22:01:13,305,2.484299839
2015-11-03 22:01:14,333,2.522444234
2015-11-03 22:01:15,334,2.523746467
2015-11-03 22:01:16,319,2.503790683
2015-11-03 22:01:17,283,2.451786436
2015-11-03 22:01:18,359,2.555094449
2015-11-03 22:01:19,324,2.51054501
2015-11-03 22:01:20,290,2.462397998
2015-11-03 22:01:21,285,2.45484486
2015-11-03 22:01:22,305,2.484299839
2015-11-03 22:01:23,413,2.615950052
2015-11-03 22:01:24,488,2.688419822
2015-11-03 22:01:25,307,2.487138376
2015-11-03 22:01:26,265,2.423245874
2015-11-03 22:01:27,316,2.499687083
2015-11-03 22:01:28,367,2.564666064
2015-11-03 22:01:29,420,2.62324929
2015-11-03 22:01:30,333,2.522444234
2015-11-03 22:01:31,307,2.487138376
2015-11-03 22:01:32,361,2.557507202
2015-11-03 22:01:33,283,2.451786436
2015-11-03 22:01:34,286,2.456366033
2015-11-03 22:01:35,423,2.626340367
2015-11-03 22:01:36,292,2.465382851
2015-11-03 22:01:37,317,2.501059262
2015-11-03 22:01:38,415,2.618048097
2015-11-03 22:01:39,354,2.549003262
2015-11-03 22:01:40,302,2.480006943
2015-11-03 22:01:41,303,2.481442629
2015-11-03 22:01:42,247,2.392696953
2015-11-03 22:01:43,288,2.459392488
2015-11-03 22:01:44,321,2.506505032
2015-11-03 22:01:45,241,2.382017043
2015-11-03 22:01:46,300,2.477121255
2015-11-03 22:01:47,258,2.411619706
2015-11-03 22:01:48,348,2.541579244
2015-11-03 22:01:49,266,2.424881637
2015-11-03 22:01:50,280,2.447158031
2015-11-03 22:01:51,439,2.64246452
2015-11-03 22:01:52,258,2.411619706
2015-11-03 22:01:53,310,2.491361694
2015-11-03 22:01:54,286,2.456366033
2015-11-03 22:01:55,343,2.53529412
2015-11-03 22:01:56,478,2.679427897
2015-11-03 22:01:57,297,2.472756449
2015-11-03 22:01:58,320,2.505149978
2015-11-03 22:01:59,324,2.51054501
2015-11-03 22:02:00,268,2.428134794
2015-11-03 22:02:01,302,2.480006943
2015-11-03 22:02:02,313,2.495544338
2015-11-03 22:02:03,276,2.440909082
2015-11-03 22:02:04,444,2.64738297
2015-11-03 22:02:05,471,2.673020907
2015-11-03 22:02:06,285,2.45484486
2015-11-03 22:02:07,434,2.63748973
2015-11-03 22:02:08,445,2.648360011
2015-11-03 22:02:09,392,2.593286067
2015-11-03 22:02:10,316,2.499687083
2015-11-03 22:02:11,303,2.481442629
2015-11-03 22:02:12,237,2.374748346
2015-11-03 22:02:13,322,2.507855872
2015-11-03 22:02:14,348,2.541579244
2015-11-03 22:02:15,270,2.431363764
2015-11-03 22:02:16,313,2.495544338
2015-11-03 22:02:17,465,2.667452953
2015-11-03 22:02:18,282,2.450249108
2015-11-03 22:02:19,258,2.411619706
2015-11-03 22:02:20,239,2.378397901
2015-11-03 22:02:21,469,2.671172843
2015-11-03 22:02:22,293,2.46686762
2015-11-03 22:02:23,564,2.751279104
2015-11-03 22:02:24,370,2.568201724
2015-11-03 22:02:25,1677,3.224533063
2015-11-03 22:02:26,285,2.45484486
2015-11-03 22:02:27,249,2.396199347
2015-11-03 22:02:28,286,2.456366033
2015-11-03 22:02:29,289,2.460897843
2015-11-03 22:02:30,285,2.45484486
2015-11-03 22:02:31,339,2.530199698
2015-11-03 22:02:32,303,2.481442629
2015-11-03 22:02:33,536,2.72916479
2015-11-03 22:02:34,312,2.494154594
2015-11-03 22:02:35,417,2.620136055
2015-11-03 22:02:36,313,2.495544338
2015-11-03 22:02:37,318,2.50242712
2015-11-03 22:02:38,284,2.45331834
2015-11-03 22:02:39,243,2.385606274
2015-11-03 22:02:40,279,2.445604203
2015-11-03 22:02:41,336,2.526339277
2015-11-03 22:02:42,324,2.51054501
2015-11-03 22:02:43,236,2.372912003
2015-11-03 22:02:44,297,2.472756449
2015-11-03 22:02:45,261,2.416640507
2015-11-03 22:02:46,280,2.447158031
2015-11-03 22:02:47,261,2.416640507
2015-11-03 22:02:48,283,2.451786436
2015-11-03 22:02:49,271,2.432969291
2015-11-03 22:02:50,326,2.5132176
2015-11-03 22:02:51,318,2.50242712
2015-11-03 22:02:52,316,2.499687083
2015-11-03 22:02:53,402,2.604226053
2015-11-03 22:02:54,327,2.514547753
2015-11-03 22:02:55,348,2.541579244
2015-11-03 22:02:56,344,2.536558443
2015-11-03 22:02:57,407,2.609594409
2015-11-03 22:02:58,280,2.447158031
2015-11-03 22:02:59,268,2.428134794
2015-11-03 22:03:00,295,2.469822016
2015-11-03 22:03:01,334,2.523746467
2015-11-03 22:03:02,308,2.488550717
2015-11-03 22:03:03,278,2.444044796
2015-11-03 22:03:04,270,2.431363764
2015-11-03 22:03:05,425,2.62838893
2015-11-03 22:03:06,441,2.64443859
2015-11-03 22:03:07,394,2.595496222
2015-11-03 22:03:08,345,2.537819095
